NumA,NumB,Subtract,Result,Overflow
00000000,00000000,0,00000000,0
00000001,00000001,0,00000002,0
FFFFFFFF,00000000,0,FFFFFFFF,0
00000000,FFFFFFFF,0,FFFFFFFF,0
00000000,00000001,0,00000001,0
FFFFFFFF,FFFFFFFF,0,FFFFFFFE,1
00000001,00000001,1,00000000,0
FFFFFFFF,00000000,1,FFFFFFFF,0
00000000,FFFFFFFF,1,00000001,1
00000000,00000001,1,FFFFFFFF,1
FFFFFFFF,FFFFFFFF,1,00000000,0
00000000,00000000,1,00000000,0
14DF728A,1DA76F94,0,3286E21E,0
0314CBF2,06CBCBE4,0,09E097D6,0
0F00FB89,03F7014C,0,12F7FCD5,0
0289F5B9,1C08DBA5,0,1E92D15E,0
1CAEA95F,0D29A443,0,29D84DA2,0
14DF728A,1DA76F94,1,F73802F6,0
0314CBF2,06CBCBE4,1,FC49000E,0
0F00FB89,03F7014C,1,0B09FA3D,0
0289F5B9,1C08DBA5,1,E6811A14,0
1CAEA95F,0D29A443,1,0F85051C,0
