NumA,NumB,CarryIn,Result,CarryOut
00000000,00000000,0,00000000,0
00000001,00000001,0,00000002,0
FFFFFFFF,00000000,0,FFFFFFFF,0
00000000,FFFFFFFF,0,FFFFFFFF,0
00000000,00000001,0,00000001,0
FFFFFFFF,FFFFFFFF,0,FFFFFFFE,1
00000001,00000001,1,00000003,0
FFFFFFFF,00000000,1,00000000,1
00000000,FFFFFFFF,1,00000000,1
00000000,00000001,1,00000002,0
FFFFFFFF,FFFFFFFF,1,FFFFFFFF,1
00000000,00000000,1,00000001,0
14DF728A,1DA76F94,1,3286E21F,0
0314CBF2,06CBCBE4,0,09E097D6,0
0F00FB89,03F7014C,1,12F7FCD6,0
0289F5B9,1C08DBA5,1,1E92D15F,0
1CAEA95F,0D29A443,0,29D84DA2,0
0D717980,16BB31B9,0,242CAB39,0
126818C0,1D9DDEC9,1,3005F78A,0
0B3F000A,169966E1,0,21D866EB,0
1746C278,1B1E9031,1,326552AA,0
10A53FE6,08CA22A4,0,196F628A,0
