#A        ,B        ,ResultL  ,ResultH  ,Overflow ,
00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
11111111111111111111111111111111,11111111111111111111111111111111,00000000000000000000000000000001,11111111111111111111111111111110,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
00000000000000000000000000000000,11111111111111111111111111111111,00000000000000000000000000000000,00000000000000000000000000000000,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
11111111111111111111111111111111,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
11110000111100001111000011110000,00001111000011110000111100001111,01101010010011000010111000010000,00001110001011000100101001101000,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
00001111000011110000111100001111,11110000111100001111000011110000,01101010010011000010111000010000,00001110001011000100101001101000,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
01000111100111001111101110101101,10010101000010011010010110011111,00110010110010111101000101110011,00101001101100010001000101010101,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
10000000110110011110000010101111,10110011001100000110110011110000,00110100110111000111100000010000,01011010001100001011011111001001,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
00000101010101110011100001010000,10101010111101111100000100001110,10000001011010010110010001100000,00000011100100010001011010010011,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
10010011111110010001110010010010,10100101110111000011011010111011,01001010011101101010101010100110,01011111110111101101100100100001,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
00110100110010110100101110111111,11001010001011100000000000011100,00011000100011100100100011100100,00101001101100011110011001010010,0,ResultL OK   ,ResultH OK   ,Overflow OK   ,
